"Titre de tracé : C3 SCJ Mur Est console"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 9928996, SEN S/N: 9928996)","HR, % (LGR S/N: 9928996, SEN S/N: 9928996)","PtRosée, °C (LGR S/N: 9928996, SEN S/N: 9928996)"
1,12/22/20 08:00:00 AM,8.680,80.10,5.45
2,12/22/20 10:00:00 AM,8.680,80.91,5.60
3,12/22/20 12:00:00 PM,8.879,82.41,6.06
4,12/22/20 02:00:00 PM,9.472,91.48,8.16
5,12/22/20 04:00:00 PM,9.669,93.09,8.62
6,12/22/20 06:00:00 PM,9.373,91.47,8.07
7,12/22/20 08:00:00 PM,9.077,87.73,7.16
8,12/22/20 10:00:00 PM,8.978,86.25,6.81
9,12/23/20 12:00:00 AM,8.879,85.80,6.64
10,12/23/20 02:00:00 AM,8.779,84.95,6.40
11,12/23/20 04:00:00 AM,8.680,84.55,6.23
12,12/23/20 06:00:00 AM,8.680,84.17,6.17
13,12/23/20 08:00:00 AM,8.779,86.25,6.62
14,12/23/20 10:00:00 AM,8.978,87.21,6.98
15,12/23/20 12:00:00 PM,9.077,86.72,6.99
16,12/23/20 02:00:00 PM,9.373,88.84,7.64
17,12/23/20 04:00:00 PM,9.472,89.44,7.83
18,12/23/20 06:00:00 PM,9.373,88.27,7.54
19,12/23/20 08:00:00 PM,9.472,88.84,7.73
20,12/23/20 10:00:00 PM,9.472,88.84,7.73
21,12/24/20 12:00:00 AM,9.373,88.84,7.64
22,12/24/20 02:00:00 AM,9.176,87.21,7.17
23,12/24/20 04:00:00 AM,9.077,85.36,6.76
24,12/24/20 06:00:00 AM,9.077,83.78,6.49
25,12/24/20 08:00:00 AM,9.077,82.73,6.31
26,12/24/20 10:00:00 AM,8.978,74.59,4.72
27,12/24/20 12:00:00 PM,8.879,70.15,3.75
28,12/24/20 02:00:00 PM,8.978,77.10,5.19
29,12/24/20 04:00:00 PM,8.978,78.83,5.51
30,12/24/20 06:00:00 PM,8.978,80.07,5.74
31,12/24/20 08:00:00 PM,8.978,80.89,5.88
32,12/24/20 10:00:00 PM,8.879,80.90,5.79
33,12/25/20 12:00:00 AM,8.779,79.83,5.50
34,12/25/20 02:00:00 AM,8.680,79.58,5.36
35,12/25/20 04:00:00 AM,8.581,78.64,5.09
36,12/25/20 06:00:00 AM,8.481,77.15,4.72
37,12/25/20 08:00:00 AM,8.382,77.16,4.62
38,12/25/20 10:00:00 AM,8.382,77.16,4.62
39,12/25/20 12:00:00 PM,8.282,76.78,4.46
40,12/25/20 02:00:00 PM,8.182,76.04,4.22
41,12/25/20 04:00:00 PM,8.082,75.88,4.09
42,12/25/20 06:00:00 PM,7.983,74.88,3.81
43,12/25/20 08:00:00 PM,7.882,73.39,3.43
44,12/25/20 10:00:00 PM,7.682,72.47,3.06
45,12/26/20 12:00:00 AM,7.582,72.36,2.94
46,12/26/20 02:00:00 AM,7.481,72.00,2.77
47,12/26/20 04:00:00 AM,7.381,72.14,2.70
48,12/26/20 06:00:00 AM,7.280,72.41,2.66
49,12/26/20 08:00:00 AM,7.179,72.42,2.56
50,12/26/20 10:00:00 AM,7.079,72.83,2.54
51,12/26/20 12:00:00 PM,7.079,72.70,2.52
52,12/26/20 02:00:00 PM,6.978,72.45,2.37
53,12/26/20 04:00:00 PM,6.877,71.85,2.16
54,12/26/20 06:00:00 PM,6.775,71.75,2.04
55,12/26/20 08:00:00 PM,6.674,71.42,1.88
56,12/26/20 10:00:00 PM,6.573,71.32,1.76
57,12/27/20 12:00:00 AM,6.471,71.57,1.71
58,12/27/20 02:00:00 AM,6.268,71.26,1.46
59,12/27/20 04:00:00 AM,6.064,70.54,1.12
60,12/27/20 06:00:00 AM,5.962,70.35,0.98
61,12/27/20 08:00:00 AM,5.860,70.37,0.89
62,12/27/20 10:00:00 AM,5.757,71.02,0.92
63,12/27/20 12:00:00 PM,5.757,72.27,1.16
64,12/27/20 02:00:00 PM,5.552,67.71,0.06
65,12/27/20 04:00:00 PM,5.450,67.41,-0.10
66,12/27/20 06:00:00 PM,5.244,63.89,-1.03
67,12/27/20 08:00:00 PM,5.141,67.24,-0.43
68,12/27/20 10:00:00 PM,5.244,71.54,0.53
69,12/28/20 12:00:00 AM,5.347,74.60,1.21
70,12/28/20 02:00:00 AM,5.450,76.19,1.60
71,12/28/20 04:00:00 AM,5.347,75.69,1.41
72,12/28/20 06:00:00 AM,5.347,76.73,1.60
73,12/28/20 08:00:00 AM,5.347,78.07,1.84
74,12/28/20 10:00:00 AM,5.347,76.91,1.63
75,12/28/20 12:00:00 PM,5.450,75.85,1.54
76,12/28/20 02:00:00 PM,5.450,75.68,1.51
77,12/28/20 04:00:00 PM,5.450,74.44,1.28
78,12/28/20 06:00:00 PM,5.450,75.85,1.54
79,12/28/20 08:00:00 PM,5.450,76.53,1.66
80,12/28/20 10:00:00 PM,5.347,76.03,1.47
81,12/29/20 12:00:00 AM,5.347,76.03,1.47
82,12/29/20 02:00:00 AM,5.347,76.20,1.50
83,12/29/20 04:00:00 AM,5.347,76.37,1.53
84,12/29/20 06:00:00 AM,5.347,76.91,1.63
85,12/29/20 08:00:00 AM,5.347,77.67,1.77
86,12/29/20 10:00:00 AM,5.347,78.27,1.88
87,12/29/20 12:00:00 PM,5.450,78.06,1.94
88,12/29/20 02:00:00 PM,5.552,78.25,2.07
89,12/29/20 04:00:00 PM,5.552,78.46,2.11
90,12/29/20 06:00:00 PM,5.450,78.91,2.09
91,12/29/20 08:00:00 PM,5.347,77.86,1.80
92,12/29/20 10:00:00 PM,5.244,77.48,1.63
93,12/30/20 12:00:00 AM,5.244,78.49,1.81
94,12/30/20 02:00:00 AM,5.244,78.08,1.74
95,12/30/20 04:00:00 AM,5.141,78.29,1.68
96,12/30/20 06:00:00 AM,5.141,78.29,1.68
97,12/30/20 08:00:00 AM,5.141,79.16,1.83
98,12/30/20 10:00:00 AM,5.244,79.85,2.05
99,12/30/20 12:00:00 PM,5.244,80.09,2.10
100,12/30/20 02:00:00 PM,5.244,80.09,2.10
101,12/30/20 04:00:00 PM,5.244,80.09,2.10
102,12/30/20 06:00:00 PM,5.244,80.34,2.14
103,12/30/20 08:00:00 PM,5.141,80.60,2.08
104,12/30/20 10:00:00 PM,5.037,79.86,1.86
105,12/31/20 12:00:00 AM,4.934,78.95,1.59
106,12/31/20 02:00:00 AM,4.831,78.32,1.38
107,12/31/20 04:00:00 AM,4.727,77.53,1.14
108,12/31/20 06:00:00 AM,4.623,74.70,0.52
109,12/31/20 08:00:00 AM,4.623,76.63,0.88
110,12/31/20 10:00:00 AM,4.519,74.86,0.45
111,12/31/20 12:00:00 PM,4.623,76.45,0.84
112,12/31/20 02:00:00 PM,4.727,77.93,1.21
113,12/31/20 04:00:00 PM,4.727,78.33,1.28
114,12/31/20 06:00:00 PM,4.623,77.17,0.97
115,12/31/20 08:00:00 PM,4.623,78.55,1.22
116,12/31/20 10:00:00 PM,4.623,79.20,1.34
117,01/01/21 12:00:00 AM,4.727,81.16,1.78
118,01/01/21 02:00:00 AM,4.727,82.29,1.97
119,01/01/21 04:00:00 AM,4.623,82.60,1.92
120,01/01/21 06:00:00 AM,4.623,82.92,1.98
121,01/01/21 08:00:00 AM,4.623,83.24,2.03
122,01/01/21 10:00:00 AM,4.623,82.92,1.98
123,01/01/21 12:00:00 PM,4.623,82.92,1.98
124,01/01/21 02:00:00 PM,4.623,82.92,1.98
125,01/01/21 04:00:00 PM,4.623,82.60,1.92
126,01/01/21 06:00:00 PM,4.519,82.01,1.72
127,01/01/21 08:00:00 PM,4.519,81.72,1.67
128,01/01/21 10:00:00 PM,4.415,81.73,1.57
129,01/02/21 12:00:00 AM,4.415,81.45,1.52
130,01/02/21 02:00:00 AM,4.415,81.18,1.48
131,01/02/21 04:00:00 AM,4.311,80.92,1.33
132,01/02/21 06:00:00 AM,4.311,80.66,1.28
133,01/02/21 08:00:00 AM,4.207,80.67,1.18
134,01/02/21 10:00:00 AM,4.207,80.41,1.14
135,01/02/21 12:00:00 PM,4.102,79.93,0.96
136,01/02/21 02:00:00 PM,4.102,79.24,0.84
137,01/02/21 04:00:00 PM,3.998,78.82,0.66
138,01/02/21 06:00:00 PM,3.998,79.25,0.73
139,01/02/21 08:00:00 PM,3.998,79.48,0.77
140,01/02/21 10:00:00 PM,3.893,79.04,0.60
141,01/03/21 12:00:00 AM,3.788,78.84,0.46
142,01/03/21 02:00:00 AM,3.788,79.27,0.53
143,01/03/21 04:00:00 AM,3.788,79.49,0.57
144,01/03/21 06:00:00 AM,3.683,79.73,0.51
145,01/03/21 08:00:00 AM,3.683,79.97,0.55
146,01/03/21 10:00:00 AM,3.578,79.97,0.45
147,01/03/21 12:00:00 PM,3.578,80.21,0.49
148,01/03/21 02:00:00 PM,3.578,79.97,0.45
149,01/03/21 04:00:00 PM,3.578,80.71,0.58
150,01/03/21 06:00:00 PM,3.472,80.72,0.47
151,01/03/21 08:00:00 PM,3.472,80.97,0.52
152,01/03/21 10:00:00 PM,3.367,81.24,0.46
153,01/04/21 12:00:00 AM,3.261,80.98,0.31
154,01/04/21 02:00:00 AM,3.261,81.25,0.36
155,01/04/21 04:00:00 AM,3.261,81.25,0.36
156,01/04/21 06:00:00 AM,3.261,81.52,0.40
157,01/04/21 08:00:00 AM,3.155,81.80,0.35
158,01/04/21 10:00:00 AM,3.155,81.80,0.35
159,01/04/21 12:00:00 PM,3.155,81.80,0.35
160,01/04/21 02:00:00 PM,3.049,82.09,0.29
161,01/04/21 04:00:00 PM,2.943,80.75,-0.04
162,01/04/21 06:00:00 PM,2.943,81.53,0.10
163,01/04/21 08:00:00 PM,2.943,82.38,0.24
164,01/04/21 10:00:00 PM,2.943,82.68,0.29
165,01/05/21 12:00:00 AM,2.837,82.99,0.24
166,01/05/21 02:00:00 AM,2.837,82.99,0.24
167,01/05/21 04:00:00 AM,2.837,83.31,0.29
168,01/05/21 06:00:00 AM,2.837,83.31,0.29
169,01/05/21 08:00:00 AM,2.837,83.31,0.29
170,01/05/21 10:00:00 AM,2.730,82.69,0.08
171,01/05/21 12:00:00 PM,2.837,82.69,0.19
172,01/05/21 02:00:00 PM,2.730,82.69,0.08
173,01/05/21 04:00:00 PM,2.517,80.06,-0.57
174,01/05/21 06:00:00 PM,2.730,82.39,0.03
175,01/05/21 08:00:00 PM,2.730,83.00,0.13
176,01/05/21 10:00:00 PM,2.730,83.00,0.13
177,01/06/21 12:00:00 AM,2.624,83.00,0.03
178,01/06/21 02:00:00 AM,2.624,83.00,0.03
179,01/06/21 04:00:00 AM,2.624,82.70,-0.02
180,01/06/21 06:00:00 AM,2.517,82.70,-0.12
181,01/06/21 08:00:00 AM,2.517,82.70,-0.12
182,01/06/21 10:00:00 AM,2.517,82.40,-0.17
183,01/06/21 12:00:00 PM,2.517,82.40,-0.17
184,01/06/21 02:00:00 PM,2.517,82.11,-0.22
185,01/06/21 04:00:00 PM,2.517,82.40,-0.17
186,01/06/21 06:00:00 PM,2.410,82.41,-0.28
187,01/06/21 08:00:00 PM,2.410,83.01,-0.18
188,01/06/21 10:00:00 PM,2.410,83.33,-0.13
189,01/07/21 12:00:00 AM,2.303,83.33,-0.23
190,01/07/21 02:00:00 AM,2.303,83.66,-0.18
191,01/07/21 04:00:00 AM,2.195,83.34,-0.33
192,01/07/21 06:00:00 AM,2.088,82.42,-0.59
193,01/07/21 08:00:00 AM,2.088,82.72,-0.54
194,01/07/21 10:00:00 AM,2.195,83.02,-0.39
195,01/07/21 12:00:00 PM,2.303,83.66,-0.18
196,01/07/21 02:00:00 PM,2.303,83.33,-0.23
197,01/07/21 04:00:00 PM,2.410,83.65,-0.07
198,01/07/21 06:00:00 PM,2.303,83.66,-0.18
199,01/07/21 08:00:00 PM,2.303,84.34,-0.06
200,01/07/21 10:00:00 PM,2.195,84.34,-0.17
201,01/08/21 12:00:00 AM,2.195,84.70,-0.11
202,01/08/21 02:00:00 AM,2.195,84.70,-0.11
203,01/08/21 04:00:00 AM,2.195,85.07,-0.05
204,01/08/21 06:00:00 AM,2.195,85.07,-0.05
205,01/08/21 08:00:00 AM,2.195,85.46,0.01
206,01/08/21 10:00:00 AM,2.195,85.46,0.01
207,01/08/21 12:00:00 PM,2.088,85.46,-0.09
208,01/08/21 02:00:00 PM,2.195,85.46,0.01
209,01/08/21 04:00:00 PM,2.195,85.46,0.01
210,01/08/21 06:00:00 PM,2.195,85.46,0.01
211,01/08/21 08:00:00 PM,2.195,85.07,-0.05
212,01/08/21 10:00:00 PM,2.195,85.07,-0.05
213,01/09/21 12:00:00 AM,1.980,84.35,-0.38
214,01/09/21 02:00:00 AM,1.980,84.00,-0.44
215,01/09/21 04:00:00 AM,1.872,83.67,-0.60
216,01/09/21 06:00:00 AM,1.764,83.35,-0.75
217,01/09/21 08:00:00 AM,1.764,83.04,-0.81
218,01/09/21 10:00:00 AM,1.872,83.67,-0.60
219,01/09/21 12:00:00 PM,1.872,83.67,-0.60
220,01/09/21 02:00:00 PM,1.872,82.73,-0.75
221,01/09/21 04:00:00 PM,1.872,82.44,-0.80
222,01/09/21 06:00:00 PM,1.872,82.15,-0.85
223,01/09/21 08:00:00 PM,1.872,83.03,-0.70
224,01/09/21 10:00:00 PM,1.872,83.03,-0.70
225,01/10/21 12:00:00 AM,1.764,83.04,-0.81
226,01/10/21 02:00:00 AM,1.764,82.74,-0.86
227,01/10/21 04:00:00 AM,1.656,82.45,-1.01
228,01/10/21 06:00:00 AM,1.656,82.45,-1.01
229,01/10/21 08:00:00 AM,1.656,82.16,-1.06
230,01/10/21 10:00:00 AM,1.548,82.17,-1.16
