"Titre de tracé : C6 SCJ Mur Sud"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 9913037, SEN S/N: 9913037)","HR, % (LGR S/N: 9913037, SEN S/N: 9913037)","PtRosée, °C (LGR S/N: 9913037, SEN S/N: 9913037)"
1,12/22/20 08:00:00 AM,8.481,82.43,5.67
2,12/22/20 10:00:00 AM,8.481,82.76,5.73
3,12/22/20 12:00:00 PM,8.680,82.10,5.81
4,12/22/20 02:00:00 PM,9.176,88.27,7.35
5,12/22/20 04:00:00 PM,9.373,91.47,8.07
6,12/22/20 06:00:00 PM,9.077,90.07,7.54
7,12/22/20 08:00:00 PM,8.879,87.21,6.88
8,12/22/20 10:00:00 PM,8.779,85.80,6.54
9,12/23/20 12:00:00 AM,8.680,84.95,6.30
10,12/23/20 02:00:00 AM,8.680,85.37,6.37
11,12/23/20 04:00:00 AM,8.680,84.95,6.30
12,12/23/20 06:00:00 AM,8.680,84.55,6.23
13,12/23/20 08:00:00 AM,8.879,83.79,6.30
14,12/23/20 10:00:00 AM,8.978,84.16,6.46
15,12/23/20 12:00:00 PM,9.077,83.42,6.43
16,12/23/20 02:00:00 PM,9.275,85.36,6.95
17,12/23/20 04:00:00 PM,9.373,85.79,7.13
18,12/23/20 06:00:00 PM,9.373,84.54,6.91
19,12/23/20 08:00:00 PM,9.373,84.54,6.91
20,12/23/20 10:00:00 PM,9.472,84.94,7.08
21,12/24/20 12:00:00 AM,9.373,84.94,6.98
22,12/24/20 02:00:00 AM,9.275,84.94,6.88
23,12/24/20 04:00:00 AM,9.275,83.78,6.68
24,12/24/20 06:00:00 AM,9.176,82.40,6.34
25,12/24/20 08:00:00 AM,9.176,82.08,6.29
26,12/24/20 10:00:00 AM,9.077,73.50,4.60
27,12/24/20 12:00:00 PM,8.978,71.39,4.09
28,12/24/20 02:00:00 PM,9.077,77.71,5.40
29,12/24/20 04:00:00 PM,9.077,79.06,5.65
30,12/24/20 06:00:00 PM,9.077,80.61,5.93
31,12/24/20 08:00:00 PM,9.077,82.08,6.19
32,12/24/20 10:00:00 PM,8.978,80.89,5.88
33,12/25/20 12:00:00 AM,8.779,80.09,5.55
34,12/25/20 02:00:00 AM,8.779,80.09,5.55
35,12/25/20 04:00:00 AM,8.581,79.10,5.17
36,12/25/20 06:00:00 AM,8.481,78.42,4.95
37,12/25/20 08:00:00 AM,8.382,78.43,4.86
38,12/25/20 10:00:00 AM,8.382,77.99,4.78
39,12/25/20 12:00:00 PM,8.282,77.58,4.60
40,12/25/20 02:00:00 PM,8.182,76.79,4.36
41,12/25/20 04:00:00 PM,8.082,76.99,4.30
42,12/25/20 06:00:00 PM,7.882,75.73,3.87
43,12/25/20 08:00:00 PM,7.682,73.99,3.35
44,12/25/20 10:00:00 PM,7.582,73.29,3.12
45,12/26/20 12:00:00 AM,7.381,73.05,2.88
46,12/26/20 02:00:00 AM,7.280,73.20,2.81
47,12/26/20 04:00:00 AM,7.179,73.35,2.74
48,12/26/20 06:00:00 AM,7.079,73.64,2.70
49,12/26/20 08:00:00 AM,6.978,73.80,2.63
50,12/26/20 10:00:00 AM,6.978,74.24,2.71
51,12/26/20 12:00:00 PM,6.877,73.96,2.56
52,12/26/20 02:00:00 PM,6.775,73.83,2.44
53,12/26/20 04:00:00 PM,6.674,73.42,2.27
54,12/26/20 06:00:00 PM,6.573,73.57,2.20
55,12/26/20 08:00:00 PM,6.471,73.32,2.05
56,12/26/20 10:00:00 PM,6.268,73.48,1.89
57,12/27/20 12:00:00 AM,6.166,73.77,1.84
58,12/27/20 02:00:00 AM,6.064,73.65,1.72
59,12/27/20 04:00:00 AM,5.860,72.75,1.35
60,12/27/20 06:00:00 AM,5.757,72.64,1.23
61,12/27/20 08:00:00 AM,5.552,72.93,1.09
62,12/27/20 10:00:00 AM,5.450,73.60,1.12
63,12/27/20 12:00:00 PM,5.552,73.72,1.24
64,12/27/20 02:00:00 PM,5.450,71.40,0.70
65,12/27/20 04:00:00 PM,5.347,70.87,0.49
66,12/27/20 06:00:00 PM,5.141,69.15,-0.04
67,12/27/20 08:00:00 PM,5.141,71.01,0.32
68,12/27/20 10:00:00 PM,5.141,73.51,0.80
69,12/28/20 12:00:00 AM,5.141,74.49,0.98
70,12/28/20 02:00:00 AM,5.244,75.87,1.34
71,12/28/20 04:00:00 AM,5.141,75.40,1.15
72,12/28/20 06:00:00 AM,5.037,76.23,1.21
73,12/28/20 08:00:00 AM,5.141,77.69,1.57
74,12/28/20 10:00:00 AM,5.141,76.75,1.40
75,12/28/20 12:00:00 PM,5.244,75.54,1.28
76,12/28/20 02:00:00 PM,5.244,75.54,1.28
77,12/28/20 04:00:00 PM,5.244,74.47,1.08
78,12/28/20 06:00:00 PM,5.244,75.71,1.31
79,12/28/20 08:00:00 PM,5.244,76.38,1.43
80,12/28/20 10:00:00 PM,5.244,75.71,1.31
81,12/29/20 12:00:00 AM,5.244,75.71,1.31
82,12/29/20 02:00:00 AM,5.244,75.71,1.31
83,12/29/20 04:00:00 AM,5.244,75.71,1.31
84,12/29/20 06:00:00 AM,5.244,76.04,1.37
85,12/29/20 08:00:00 AM,5.244,76.74,1.50
86,12/29/20 10:00:00 AM,5.347,77.09,1.66
87,12/29/20 12:00:00 PM,5.552,76.88,1.83
88,12/29/20 02:00:00 PM,5.552,77.07,1.86
89,12/29/20 04:00:00 PM,5.552,77.26,1.89
90,12/29/20 06:00:00 PM,5.450,77.46,1.83
91,12/29/20 08:00:00 PM,5.450,76.90,1.73
92,12/29/20 10:00:00 PM,5.347,76.91,1.63
93,12/30/20 12:00:00 AM,5.347,77.28,1.70
94,12/30/20 02:00:00 AM,5.347,77.28,1.70
95,12/30/20 04:00:00 AM,5.347,77.28,1.70
96,12/30/20 06:00:00 AM,5.244,77.29,1.60
97,12/30/20 08:00:00 AM,5.347,77.67,1.77
98,12/30/20 10:00:00 AM,5.347,78.27,1.88
99,12/30/20 12:00:00 PM,5.347,78.48,1.91
100,12/30/20 02:00:00 PM,5.347,78.48,1.91
101,12/30/20 04:00:00 PM,5.347,78.70,1.95
102,12/30/20 06:00:00 PM,5.347,78.92,1.99
